Feature,RMSE,PCC
tongue_area,0.024615895924906022,-0.21881414949893951
tongue_centroid_x,0.06921862025819249,-0.07720083743333817
tongue_centroid_y,0.029630254307445966,0.39399483799934387
tongue_tip_y,0.004601945705124916,0.0
tongue_dorsum_height,0.021659306206590154,0.2797185480594635
tongue_width,0.03512504968054234,0.0
jaw_area,0.0049240610786872455,0.0
jaw_centroid_y,0.03565500869656871,0.0
jaw_opening,0.0037904490846924683,0.0
lip_area,0.007814703664080163,0.0
lip_centroid_y,0.012388836505862906,0.0
lip_aperture,0.01682033390771573,0.0
constriction_degree,0.03997618838441398,-0.15092220902442932
constriction_location_y,0.4029865685169891,0.135829895734787
